created_at,hashtags,favorite_count,id,lang,retweet_count,reweet_id,retweet_screen_name,text,tweet_url,user_screen_name,user_followers_count,user_friends_count,user_location,user_verified
Thu Apr 23 00:01:50 +0000 2020,,0,1253111806039666688,en,0,,,Why the World Bank ex-chief is on the warpath to end coronavirus transmission https://t.co/uertkB3jWH,https://twitter.com/JaanPill/status/1253111806039666688,JaanPill,1909,4042,"Stratford, Ontario",false
Thu Apr 23 00:01:56 +0000 2020,,0,1253111831532625931,en,0,,,"Simple lockdown workouts, no equipment needed https://t.co/H0O0JPIbPw via @YouTube",https://twitter.com/ScottKovackYT/status/1253111831532625931,ScottKovackYT,128,344,"Renfrew, Ontario",false
Thu Apr 23 00:01:57 +0000 2020,,0,1253111831662485504,en,0,,,"@DrTedros Tedros you should resign already, the millions infected and the thousands dead won't forgive your blunders.",https://twitter.com/N9Vassev/status/1253111831662485504,N9Vassev,8066,6938,Vancouver,false
Thu Apr 23 00:02:42 +0000 2020,COVID19 coronavirus,0,1253112023749099520,en,0,,,This did not take very long @Netflix_CA @netflix ! #COVID19 #coronavirus https://t.co/5ffDfIKZp2,https://twitter.com/djjuggles/status/1253112023749099520,djjuggles,128,120,"Mississauga, Ontario",false
Thu Apr 23 00:02:50 +0000 2020,UK Covid PPE Conservative Austerity,0,1253112056783372288,en,0,,,"Half of #UK health workers suffering stress because of #Covid-19 &amp; Lack of #PPE from #Conservative #Austerity 

https://t.co/dTldwGSDcl",https://twitter.com/wavetop/status/1253112056783372288,wavetop,3428,4988,Vancouver,false
Thu Apr 23 00:03:04 +0000 2020,,2,1253112115541553153,en,0,,,"@isosteph there was one in Daegu, went to a megachurch service and caused like half the outbreak in Korea",https://twitter.com/iainmcampbell/status/1253112115541553153,iainmcampbell,281,288,Toronto,false
Thu Apr 23 00:03:06 +0000 2020,,0,1253112123971874816,en,0,,,"via @PerilofAfrica Some U.S. states plan 'risky' reopenings, but appear to have White House support: U.S. President Donald Trump and Attorney General William Barr have expressed great concern about the impact of stay-at-home orders on the country's https://t.co/BK7l5a1iA2 https://t.co/LaA9wA8RMq",https://twitter.com/mlnangalama/status/1253112123971874816,mlnangalama,4260,2154,"Moncton, Canada",false
Thu Apr 23 00:03:12 +0000 2020,healthequity,6,1253112148928184322,en,1,,,"Data is one of the most important tools we have to help understand who &amp; how different groups are impacted by COVID-19. Data is essential to support policy development for public health. We should be collecting all the info, including disaggregated race-based data. #healthequity https://t.co/Ct2JgPohbq",https://twitter.com/NrinderWard3/status/1253112148928184322,NrinderWard3,3995,1681,"Hamilton, ON",false
Thu Apr 23 00:03:22 +0000 2020,COVID19,1,1253112192230133765,en,0,,,"Trumps lack of humility will be costing more American lives. The problem starts with the way he is framing the pandemic. Also, the more he promises a quick economic recovery, the lesser it will become likely. The pandemic requires humbleness, patience and transparency. #COVID19",https://twitter.com/Tseday/status/1253112192230133765,Tseday,15480,2347,Toronto,false
Thu Apr 23 00:20:27 +0000 2020,NewJersey Egyptian Coptic American,0,1253116490641035264,en,0,,,"Wonderful news to the people of #NewJersey , may be @tekaldas can spare #Egyptian from his wisdom for a while and try to bring some #Coptic salvation to battered #American https://t.co/CMFI8QSzQT",https://twitter.com/Adel1945/status/1253116490641035264,Adel1945,77,1559,"Toronto, Ontario",false
Thu Apr 23 00:20:32 +0000 2020,,0,1253116511662886917,en,0,,,"20200422: Sharon Kirkey : 'Immunity passport, please': Should antibody testing be the ticket out of lockdown? https://t.co/w8DPAQtrE6",https://twitter.com/johnndavis/status/1253116511662886917,johnndavis,323,1269,Toronto,false
Thu Apr 23 00:20:31 +0000 2020,,0,1253116507707641860,en,0,,,"""Why are people from BAME groups dying disproportionately of Covid-19?""  FYI: BAME=Black and Minority Ethnic 
https://t.co/bTYLjb0nMR",https://twitter.com/DrJaniceDuMont/status/1253116507707641860,DrJaniceDuMont,467,381,Toronto,false
Thu Apr 23 00:20:39 +0000 2020,CanadaTogether,23,1253116540767154176,en,1,,,Taking a moment from munching (and scheming...) to let everyone know that you must stay inside as much as possible!! And make sure those hands are sparkly clean Lets flatten the curve! #CanadaTogether  https://t.co/oo06ZqAinF,https://twitter.com/TorontoCapybara/status/1253116540767154176,TorontoCapybara,1125,113,"Toronto, Ontario/ High Park",false
